Count;;;N NI;;;Count of objects available in this stream created by MediaInfo when analyzing file. This is mostly for internal use
Status;;;N NI;;;Status of bit field when parsing. Options are: 0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished. This is mostly for internal use
StreamCount;;;N NI;;;Total number of streams available for this StreamKind. Counting starts at 1
StreamKind;Audio;;N NT;;;Name of stream type. Options are: General, Video, Audio, Text, Image, Menu, or Other
StreamKind/String;;;N NT;;;Name of stream type. Options are: General, Video, Audio, Text, Image, Menu, or Other
StreamKindID;;;N NI;;;Identification number for stream, assigned in order of parsing. Counting starts at 0
StreamKindPos;;;N NI;;;Identification number for stream when multiple, assigned in order of parsing. Counting starts at 1
StreamOrder;;;N YIY;;;Stream order in the file for type of stream. Counting starts at 0
FirstPacketOrder;;;N NIY;;;Order of the first fully decodable packet parsed in the file for stream type. Counting starts at 0
Inform;;;N NT;;;Last **Inform** call. This is mostly for internal use
ID;;;N YTY;;;The identification number for this stream in this file
ID/String;;;Y NT;;;The identification number for this stream in this file (String format)
OriginalSourceMedium_ID;;;N YTY;;;Identification for this stream in the original medium of the material
OriginalSourceMedium_ID/String;;;Y NT;;;Identification for this stream in the original medium of the material (String format)
UniqueID;;;N YTY;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YTY;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;N YTY;;;Format used
Format/String;;;Y NT;;;Format used and any additional features or settings
Format/Info;;;Y NT;;;More details about the identified Format
Format/Url;;;N NT;;;Link to a description of this format
Format_Commercial;;;N NT;;;Commercial name used by vendor for these settings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YTY;;;Commercial name used by vendor for these settings, if available
Format_Version;;;Y YTY;;;Version for the identified format
Format_Profile;;;Y YTY;;;Profile of the Format
Format_Level;;;Y YTY;;;Level of the Format
Format_Compression;;;Y YTY;;;Compression method used
Format_Settings;;;Y NT;;;Settings used and required by decoder
Format_Settings_SBR;;Yes;N YTY;;;Whether Spectral band replication settings used in encoding. Options are Yes (NBC)/No (Explicit). Note: NBC stands for "Not Backwards Compatable"
Format_Settings_SBR/String;;;N NT;;;Whether Spectral band replication settings used in encoding. Options are Yes (NBC)/No (Explicit). Note: NBC stands for "Not Backwards Compatable"
Format_Settings_PS;;Yes;N YTY;;;Whether Parametric Stereo settings used in encoding. Options are Yes (NBC)/No (Explicit). Note: NBC stands for "Not Backwards Compatable"
Format_Settings_PS/String;;;N NT;;;Whether Parametric Stereo settings used in encoding. Options are Yes (NBC)/No (Explicit). Note: NBC stands for "Not Backwards Compatable"
Format_Settings_Mode;;;N YTY;;;Profile for format settings used in encoding (e.g. Joint Stereo)
Format_Settings_ModeExtension;;;N YTY;;;Extended format settings profile for Joint Stereo, derived from header data (e.g. Intensity Stereo + MS Stereo)
Format_Settings_Emphasis;;;N YTY;;;Emphasis format settings for MPEG audio, derived from header data (e.g. 50/15ms)
Format_Settings_Floor;;;Y YTY;;;Settings for Vorbis spectral "floor" (a low-resolution representation of the audio spectrum for the given channel in the current frame) vector (e.g. Floor0)
Format_Settings_Firm;;;N YTY;;;Agency or company responsible for format settings used in encoding (e.g. Microsoft)
Format_Settings_Endianness;;;N YTY;;;Order of bytes required for decoding. Options are Big/Little
Format_Settings_Sign;;;N YTY;;;How numbers are stored in stream's encoding. Options are Signed/Unsigned
Format_Settings_Law;;;Y YTY;;;U-law or A-law
Format_Settings_ITU;;;N YTY;;;ITU Telecommunication Standardization Sector compression standard used in encoding (e.g. G.726)
Format_Settings_Wrapping;;;Y YTY;;;Wrapping mode set for format (e.g. Frame, Clip)
Format_AdditionalFeatures;;;N YTY;;;Features from the format that are required to fully support the file content
Matrix_Format;;;Y YTY;;;Matrix format used in encoding (e.g. DTS Neural Audio)
InternetMediaType;;;N YT;;;Internet Media Type (aka MIME Type, Content-Type)
MuxingMode;;;Y YTY;;;How this file is muxed in the container (e.g. Muxed in Video #1)
MuxingMode_MoreInfo;;;Y NT;;;More information about MuxingMode
CodecID;;;Y YTY;;;Codec identifier as indicated by the container
CodecID/String;;;Y NT;;;Codec identifier, as indicated by the container
CodecID/Info;;;Y NT;;;More information about this codec identifier
CodecID/Hint;;;Y NT;;;Common alternative names for this codec identifier
CodecID/Url;;;N NT;;;A link to more details about this codec identifier
CodecID_Description;;;Y YT;;;Codec description indicated by the container
Codec;;;N NT;;;Deprecated, do not use in new projects
Codec/String;;;N NT;;;Deprecated, do not use in new projects
Codec/Family;;;N NT;;;Deprecated, do not use in new projects
Codec/Info;;;N NT;;;Deprecated, do not use in new projects
Codec/Url;;;N NT;;;Deprecated, do not use in new projects
Codec/CC;;;N NT;;;Deprecated, do not use in new projects
Codec_Description;;;N NT;;;Deprecated, do not use in new projects
Codec_Profile;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Automatic;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Floor;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Firm;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Endianness;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Sign;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Law;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_ITU;;;N NT;;;Deprecated, do not use in new projects
Duration;; ms;N YFY;;;Play time of the stream, in s (ms for text output)
