Count;;;N NI;;;Count of objects available in this stream created by MediaInfo when analyzing file. This is mostly for internal use
Status;;;N NI;;;Status of bit field when parsing. Options are: 0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished. This is mostly for internal use
StreamCount;;;N NI;;;Total number of streams available for this StreamKind. Counting starts at 1
StreamKind;Text;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKind/String;;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKindID;;;N NI;;;Identification number for stream, assigned in order of parsing. Counting starts at 0
StreamKindPos;;;N NI;;;Identification number for stream when multiple, assigned in order of parsing. Counting starts at 1
StreamOrder;;;N YIY;;;Stream order in the file for type of stream. Counting starts at 0
FirstPacketOrder;;;N NIY;;;Order of the first fully decodable packet parsed in the file for stream type. Counting starts at 0
Inform;;;N NT;;;Last **Inform** call. This is mostly for internal use
ID;;;N YTY;;;The identification number for this stream in this file
ID/String;;;Y NT;;;The identification number for this stream in this file (String format)
OriginalSourceMedium_ID;;;N YTY;;;Identification for this stream in the original medium of the material
OriginalSourceMedium_ID/String;;;Y NT;;;Identification for this stream in the original medium of the material (String format)
UniqueID;;;N YTY;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YTY;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;N YTY;;;Format used
Format/String;;;Y NT;;;Format used and any additional features or settings
Format/Info;;;Y NT;;;More details about the identified Format
Format/Url;;;N NT;;;Link to a description of this format
Format_Commercial;;;N NT;;;Commercial name used by vendor for these settings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YTY;;;Commercial name used by vendor for these settings, if available
Format_Version;;;Y YTY;;;Version for the identified format
Format_Profile;;;Y YTY;;;Profile of the Format
Format_Compression;;;Y YTY;;;Compression method used
Format_Settings;;;Y YTY;;;Settings used and required by decoder
Format_Settings_Wrapping;;;Y YTY;;;Wrapping mode set for format (e.g. Frame, Clip)
Format_AdditionalFeatures;;;N YTY;;;Features from the format that are required to fully support the file content
InternetMediaType;;;N YT;;;Internet Media Type (aka MIME Type, Content-Type)
MuxingMode;;;Y YTY;;;How this file is muxed in the container (e.g. Muxed in Video #1)
MuxingMode_MoreInfo;;;Y YTY;;;More information about MuxingMode
CodecID;;;Y YTY;;;Codec identifier as indicated by the container
CodecID/String;;;Y NT;;;Codec identifier, as indicated by the container
CodecID/Info;;;Y NT;;;More information about this codec identifier
CodecID/Hint;;;Y NT;;;Common alternative names for this codec identifier
CodecID/Url;;;N NT;;;A link to more details about this codec identifier
CodecID_Description;;;Y YT;;;Codec description, as defined by the container
Codec;;;N NT;;;Deprecated
Codec/String;;;N NT;;;Deprecated
Codec/Info;;;N NT;;;Deprecated
Codec/Url;;;N NT;;;Deprecated
Codec/CC;;;N NT;;;Deprecated
Duration;; ms;N YFY;;;Play time of the stream, in ms
Duration/String;;;Y NT;;;Play time of the stream in format XXx YYy, with YYy value omitted if zero (e.g. 1 h 40 min)
Duration/String1;;;N NT;;;Play time of the stream in format HHh MMmn SSs MMMms, with any fields omitted if zero
Duration/String2;;;N NT;;;Play time of the stream in format XXx YYy, with YYy omitted if value is zero
Duration/String3;;;N NT;;;Play time of the stream in format HH:MM:SS.mmm (e.g. 01:40:00.000)
Duration/String4;;;N NT;;;Play time of the stream in format HH:MM:SS:FF, with last colon replaced by semicolon for drop frame if available
Duration/String5;;;N NT;;;Play time  of the streamin format HH:MM:SS.mmm (HH:MM:SS:FF)
Duration_Start2End;; ms;N YFY;;;Play time from first display to last display, in ms
Duration_Start2End/String;;;Y NT;;;Play time from first display to last display in format XXx YYy, with YYy value omitted if zero (e.g. 1 h 40 min)
Duration_Start2End/String1;;;N NT;;;Play time from first display to last display in format HHh MMmn SSs MMMms, with any fields omitted if zero
Duration_Start2End/String2;;;N NT;;;Play time from first display to last display in format XXx YYy, with YYy omitted if value is zero
Duration_Start2End/String3;;;N NT;;;Play time from first display to last display in format HH:MM:SS.mmm
Duration_Start2End/String4;;;N NT;;;Play time from first display to last display in format HH:MM:SS:FF, with last colon replaced by semicolon for drop frame if available
Duration_Start2End/String5;;;N NT;;;Play time from first display to last display in format HH:MM:SS.mmm (HH:MM:SS:FF)
Duration_Start_Command;; ms;N YFY;;;Timestamp of first command, in ms
Duration_Start_Command/String;;;Y NT;;;Timestamp of first command in format XXx YYy, with YYy value omitted if zero (e.g. 1 h 40 min)
Duration_Start_Command/String1;;;N NT;;;Timestamp of first command in format HHh MMmn SSs MMMms, with any fields omitted if zero
Duration_Start_Command/String2;;;N NT;;;Timestamp of first command in format XXx YYy, with YYy omitted if value is zero
Duration_Start_Command/String3;;;N NT;;;Timestamp of first command in format HH:MM:SS.mmm
Duration_Start_Command/String4;;;N NT;;;Timestamp of first command in format HH:MM:SS:FF, with last colon replaced by semicolon for drop frame if available
Duration_Start_Command/String5;;;N NT;;;Timestamp of first command in format HH:MM:SS.mmm (HH:MM:SS:FF)
Duration_Start;; ms;N YFY;;;Timestamp of first display, in ms
Duration_Start/String;;;Y NT;;;Timestamp of first display in format XXx YYy, with YYy value omitted if zero (e.g. 1 h 40 min)
Duration_Start/String1;;;N NT;;;Timestamp of first display in format HHh MMmn SSs MMMms, with any fields omitted if zero
Duration_Start/String2;;;N NT;;;Timestamp of first display in format XXx YYy, with YYy omitted if value is zero
