Count;;;N NI;;;Count of objects available in this stream created by MediaInfo when analyzing file. This is mostly for internal use
Status;;;N NI;;;Status of bit field when parsing. Options are: 0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished. This is mostly for internal use
StreamCount;;;N NI;;;Total number of streams available for this StreamKind. Counting starts at 1
StreamKind;Video;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKind/String;;;N NT;;;Name of stream type. Options are: Audio, General, Image, Menu, Other, Text, or Video
StreamKindID;;;N NI;;;Identification number for stream, assigned in order of parsing. Counting starts at 0
StreamKindPos;;;N NI;;;Identification number for stream when multiple, assigned in order of parsing. Counting starts at 1
StreamOrder;;;N YIY;;;Stream order in the file for type of stream. Counting starts at 0
FirstPacketOrder;;;N NIY;;;Order of the first fully decodable packet parsed in the file for stream type. Counting starts at 0
Inform;;;N NT;;;Last **Inform** call. This is mostly for internal use
ID;;;N YTY;;;The identification number for this stream in this file
ID/String;;;Y NT;;;The identification number for this stream in this file (String format)
OriginalSourceMedium_ID;;;N YTY;;;Identification for this stream in the original medium of the material
OriginalSourceMedium_ID/String;;;Y NT;;;Identification for this stream in the original medium of the material (String format)
UniqueID;;;N YTY;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YTY;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;N YTY;;;Format used
Format/String;;;Y NT;;;Format used and any additional features or settings
Format/Info;;;Y NT;;;More details about the identified Format
Format/Url;;;N NT;;;Link to a description of this format
Format_Commercial;;;N NT;;;Commercial name used by vendor for these settings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YTY;;;Commercial name used by vendor for these settings, if available
Format_Version;;;Y YTY;;;Version for the identified format
Format_Profile;;;Y YTY;;;Profile of the Format
Format_Level;;;Y YTY;;;Level of the Format
Format_Tier;;;Y YTY;;;Tier of the Format
Format_Compression;;;Y YTY;;;Compression method used
Format_AdditionalFeatures;;;N YTY;;;Features from the format that are required to fully support the file content
MultiView_BaseProfile;;;Y YTY;;;Profile of the base stream for Multiview Video Coding
MultiView_Count;;;Y YTY;;;View count for Multiview Video Coding
MultiView_Layout;;;Y YTY;;;How views are muxed in the container for Multiview Video Coding
HDR_Format;;;N YTY;;;High Dynamic Range Format used
HDR_Format/String;;;Y NT;;;HDR Format used, along with version, profile, level, layers, settings, and compatibility information
HDR_Format_Commercial;;;N YT;;;Commercial name used by vendor for these HDR settings or HDR Format field if there is no difference
HDR_Format_Version;;;N YTY;;;Version of HDR Format
HDR_Format_Profile;;;N YTY;;;Profile of HDR Format
HDR_Format_Level;;;N YTY;;;Level of HDR Format
HDR_Format_Settings;;;N YTY;;;HDR Format settings
HDR_Format_Compatibility;;;N YTY;;;HDR Format compatibility with commercial products (e.g. HDR10)
Format_Settings;;;Y NT;;;Settings used and required by decoder
Format_Settings_BVOP;;Yes;N YTY;;;Whether BVOP settings are required for decoding MPEG (Yes, No)
Format_Settings_BVOP/String;;;Y NT;;;Whether BVOP settings are required for decoding MPEG (Yes, No)
Format_Settings_QPel;;Yes;N YTY;;;Whether Quarter-pixel motion settings are required for decoding MPEG (Yes, No)
Format_Settings_QPel/String;;;Y NT;;;Whether Quarter-pixel motion settings are required for decoding MPEG (Yes, No)
Format_Settings_GMC;; warppoint;N YIY;;;Whether Global Motion Compensation settings are required for decoding MPEG (Yes, No)
Format_Settings_GMC/String;;;Y NT;;;Whether Global Motion Compensation settings are required for decoding MPEG (Yes, No)
Format_Settings_Matrix;;;N YTY;;;Whether Matrix settings are required for decoding MPEG (Yes, No)
Format_Settings_Matrix/String;;;Y NT;;;Whether Matrix settings are required for decoding MPEG (Yes, No)
Format_Settings_Matrix_Data;;;N NTY;;;Matrix data, in base64-encoded binary format. Order: intra, non-intra, gray intra, gray non-intra
Format_Settings_CABAC;;Yes;N YTY;;;Whether CABAC support is required for decoding MPEG (Yes, No)
Format_Settings_CABAC/String;;;Y NT;;;Whether CABAC support is  required for decoding MPEG (Yes, No)
Format_Settings_RefFrames;; frame;N YIY;;;Whether reference frames settings are required for decoding AVC (Yes, No)
Format_Settings_RefFrames/String;;;Y NT;;;Whether reference frames settings are required for decoding AVC (Yes, No)
Format_Settings_Pulldown;;;Y YTY;;;Pulldown method (for film transferred to video)
Format_Settings_Endianness;;;N YTY;;;Order of bytes required for decoding (Big, Little)
Format_Settings_Packing;;;N YTY;;;Data packing method used in DPX frames (e.g. Packed, Filled A, Filled B)
Format_Settings_FrameMode;;;Y YTY;;;Frame mode for decoding (e.g. Frame doubling, Frame tripling)
Format_Settings_GOP;;;Y YTY;;;GOP method set for format (e.g. N=1, Variable)
Format_Settings_PictureStructure;;;Y YTY;;;Picture structure method set for format (e.g. Frame, Field)
Format_Settings_Wrapping;;;Y YTY;;;Wrapping mode set for format (e.g. Frame, Clip)
InternetMediaType;;;N YT;;;Internet Media Type a.k.a. MIME Type, Content-Type
MuxingMode;;;Y YTY;;;How this file is muxed in the container (e.g. Muxed in Video #1)
CodecID;;;Y YTY;;;Codec identifier as indicated by the container
CodecID/String;;;Y NT;;;Codec identifier, as indicated by the container
CodecID/Info;;;Y NT;;;More information about this codec identifier
CodecID/Hint;;;Y NT;;;Common alternative names for this codec identifier
CodecID/Url;;;N NT;;;A link to more details about this codec identifier
CodecID_Description;;;Y YT;;;Codec description, as defined by the container
